filename,format,tool,n_components,source_path
4284fe3bb05092d77d6a251de4a68ee9c7fefff5,SPDX-JSON,cyclonedx:cyclonedx,7,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\4\4284fe3bb05092d77d6a251de4a68ee9c7fefff5
4f3227f7eb7659b2bfc5e867a5294bc1db0e2378,CycloneDX-JSON,Node.js module,761,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\4\4f3227f7eb7659b2bfc5e867a5294bc1db0e2378
07b20d499a000219efec966798a49213fc71b348,CycloneDX-JSON,Gemnasium,17,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\0\07b20d499a000219efec966798a49213fc71b348
af34ce45a0cf1106b9e6f53eb503c374de94ee7a,CycloneDX-JSON,Github Extractor,8,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\a\af34ce45a0cf1106b9e6f53eb503c374de94ee7a
61b48eb4a18436c97beee8fd7907819cbd3863c1,CycloneDX-JSON,cdxgen,9,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\6\61b48eb4a18436c97beee8fd7907819cbd3863c1
16ebc44d0c5432c0a081bbf9e05c9aa78ae69be1,CycloneDX-JSON,syft,343,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\16ebc44d0c5432c0a081bbf9e05c9aa78ae69be1
fbabe842f057fcfe8d17e05d0ad509db298212fe,CycloneDX-JSON,Node.js module,69,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\f\fbabe842f057fcfe8d17e05d0ad509db298212fe
6dcb349e5bb1bc3787f56ccacb9e6fb7e9c9f3a4,CycloneDX-JSON,Node.js module,181,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\6\6dcb349e5bb1bc3787f56ccacb9e6fb7e9c9f3a4
102616eae309bbda586108a49071aeaa73e6fb47,CycloneDX-JSON,cdxgen,38,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\102616eae309bbda586108a49071aeaa73e6fb47
e9bac7caa7383bbe630dd906cc535f2fe0b10a42,CycloneDX-JSON,cdxgen,10,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\e\e9bac7caa7383bbe630dd906cc535f2fe0b10a42
3cc37e060154bae9872e1d587c0b576bfe2b0425,CycloneDX-JSON,cyclonedx-gomod,123,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\3\3cc37e060154bae9872e1d587c0b576bfe2b0425
c3e525d1d7b065bf0ba16f6ec9ba75b68dd561af,CycloneDX-JSON,cdxgen,292,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\c\c3e525d1d7b065bf0ba16f6ec9ba75b68dd561af
26601aef4fd434d4bf7870b0b8d3bc939aeeed96,CycloneDX-JSON,Github Extractor,13,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\26601aef4fd434d4bf7870b0b8d3bc939aeeed96
bc0a993226e75b73190f72f323c2b88f3e581f66,CycloneDX-JSON,cdxgen,6,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\b\bc0a993226e75b73190f72f323c2b88f3e581f66
f8e627f6a84ff523406821a3e71fb972433277cf,CycloneDX-JSON,cyclonedx-php-composer,62,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\f\f8e627f6a84ff523406821a3e71fb972433277cf
